Course #,Sec,Course Title,Credits,Faculty,DAYS,Start Time,End Time,Room,Remarks
ARAB212,1,Arabic Language and Communication,2,Wafaa Sheaib,M W,2:00:00 PM,2:50:00 PM,F101,
ARAB212,2,Arabic Language and Communication,2,Wafaa Sheaib,M W,3:30:00 PM,4:20:00 PM,F101,
ARAB212,3,Arabic Language and Communication,2,Dina Baba,T R,8:00:00 AM,8:50:00 AM,F206,
ARAB212,4,Arabic Language and Communication,2,Staff Staff,T R,8:00:00 AM,8:50:00 AM,F205,
ARAB212,5,Arabic Language and Communication,2,Dina Baba,T R,1:30:00 PM,2:20:00 PM,F101,
BACC205,1,Financial Accounting,3,Staff Staff,M W,8:00:00 AM,9:15:00 AM,H203,
BACC205,2,Financial Accounting,3,Staff Staff,M W,8:00:00 AM,9:15:00 AM,H205,
BACC205,3,Financial Accounting,3,Staff Staff,T R,12:00:00 PM,1:15:00 PM,H203,
BACC255,1,Managerial Accounting,3,Staff Staff,T R,1:30:00 PM,2:45:00 PM,H203,
BACC305,1,Intermediate Accounting I,3,Staff Staff,T R,1:30:00 PM,2:45:00 PM,H205,
BACC310,1,Cost Accounting,3,Staff Staff,T R,8:00:00 AM,9:15:00 AM,H203,
BACC450,1,External Auditing,3,Staff Staff,T R,8:00:00 AM,9:15:00 AM,H204,
BACC465,1,Taxation,3,Staff Staff,M W,12:30:00 PM,1:45:00 PM,H202,
BADM215,1,Personal Development & Management,1,Staff Staff,T,3:00:00 PM,4:15:00 PM,H104,
BADM215,2,Personal Development & Management,1,Staff Staff,R,3:00:00 PM,4:15:00 PM,H104,
BADM225,1,Business Math,3,Staff Staff,M W,8:00:00 AM,9:15:00 AM,H204,
BADM225,2,Business Math,3,Staff Staff,T R,12:00:00 PM,1:15:00 PM,H005,
BADM230,1,Business Law,3,Staff Staff,M W,12:30:00 PM,1:45:00 PM,H104,
BADM230,2,Business Law,3,Staff Staff,M W,2:00:00 PM,3:15:00 PM,H104,
BADM235,1,Business Research Methodology,1,Staff Staff,R,8:00:00 AM,9:15:00 AM,H005,
BADM250,1,Business Statistics,3,Staff Staff,T R,1:30:00 PM,2:45:00 PM,G LAB2,
BADM250,2,Business Statistics,3,Staff Staff,T R,1:30:00 PM,2:45:00 PM,G LAB1,
BADM290,1,Community Engagement Experience,0,Staff Staff,,,,,
BADM355,1,Business Ethics and Social Responsibility,3,Staff Staff,M W,3:30:00 PM,4:45:00 PM,H104,
BADM410,1,International Business,3,Staff Staff,M W,2:00:00 PM,3:15:00 PM,H205,
BADM420,1,Quantitative Methods for Business,3,Staff Staff,T R,3:00:00 PM,4:15:00 PM,H102,
BADM485,1,Co-op Work Experience,1,Placement Office Coop and,,,,,
BADM490,1,Entrepreneurship,3,Staff Staff,M W,9:30:00 AM,10:45:00 AM,H202,
BADM505,1,Business Research Methods,3,Staff Staff,T,4:30:00 PM,7:15:00 PM,F201,
BADM590,1,MBA Research Project,3,Staff Staff,,,,,
BADM595,1,Oil and Gas Research Project,3,Staff Staff,,,,,
BECN190,1,Introduction to Economics,3,Staff Staff,M W,8:00:00 AM,9:15:00 AM,H202,Freshman and Remedial Course
BECN301,1,Microeconomics,3,Staff Staff,M W,9:30:00 AM,10:45:00 AM,H205,
BECN301,2,Microeconomics,3,Staff Staff,T R,9:30:00 AM,10:45:00 AM,H203,
BECN302,1,Macroeconomics,3,Staff Staff,M W,12:30:00 PM,1:45:00 PM,H205,
BECN500,1,Applied Business Economics,3,Staff Staff,M,4:30:00 PM,7:15:00 PM,F201,
BFIN300,1,Financial Management I,3,Staff Staff,M W,2:00:00 PM,3:15:00 PM,H204,
BFIN305,1,Introduction to Banking,3,Staff Staff,T R,1:30:00 PM,2:45:00 PM,H202,
BFIN405,1,Bank Financial and Risk Management,3,Staff Staff,M W,11:00:00 AM,12:15:00 PM,H202,
BFIN450,1,Investment Analysis,3,Staff Staff,T R,9:30:00 AM,10:45:00 AM,H204,
BHRM300,1,Human Resources Management,3,Staff Staff,T R,12:00:00 PM,1:15:00 PM,H202,
BHRM305,1,Labor Law & Relations,3,Staff Staff,T R,1:30:00 PM,2:45:00 PM,H204,
BHRM400,1,HR Training and Development,3,Staff Staff,M W,2:00:00 PM,3:15:00 PM,H203,
BIOL222,1,Introduction to Food Safety and Lab,3,Roba AlHajj,M W,11:00:00 AM,11:50:00 AM,D201,Science Elective
BIOL222L,1,Introduction to Food Safety Lab,0,Roba AlHajj,T,3:00:00 PM,4:30:00 PM,B103,
BIOL222L,2,Introduction to Food Safety Lab,0,Roba AlHajj,R,3:00:00 PM,4:30:00 PM,B103,
BIOM301,1,Biomedical Sensors,3,Mohamad Diab,M W,11:00:00 AM,12:15:00 PM,D204,
BIOM301L,1,Biomedical Sensors Lab,1,Milana Kasab,T,7:55:00 AM,9:25:00 AM,Biomed Lab,
BIOM301L,2,Biomedical Sensors Lab,1,Milana Kasab,R,7:55:00 AM,9:25:00 AM,Biomed Lab,
BIOM413,1,Bio-electronics Circuit Design,3,Maher Sabbah,M W,9:30:00 AM,10:45:00 AM,D204,
BIOM414,1,Advanced Biomedical Instrumentation,3,Mohamad Diab,M W,12:30:00 PM,1:45:00 PM,D204,
BIOM417,1,Critical Care Equipment,3,Maher Sabbah,T R,3:00:00 PM,4:15:00 PM,D204,
BIOM499,1,COOP Work Experience,1,Placement Office Coop and,,,,,
BIOM502,1,AI Applications in Heath Care,3,Mohamad Diab,T R,3:00:00 PM,4:15:00 PM,D203,
BIOM519,1,Advanced Therapeutic Devices,3,Mohamad Diab,T R,12:00:00 PM,1:15:00 PM,D204,
BIOM521,1,Introduction to E-Health Care,3,Maher Sabbah,M W,12:30:00 PM,1:45:00 PM,D203,
BIOM522,1,Advanced Medical Imaging,3,Maher Sabbah,T R,1:30:00 PM,2:45:00 PM,D203,
BIOM595A,1,BE Summative Learning Project I,3,Staff Staff,,,,,
