Course #,Sec,Course Title,CR,Faculty,Days,Start Time,End Time,Room,Remarks
PHAR615,279765,Pharmacotherapeutics V (infectious Diseases),3,Fouad Rafik Sakr,T R,8:00:00 AM,9:15:00 AM,,"LIU Fall 2026, Campus: Beirut"
PHAR615,279766,Pharmacotherapeutics V (infectious Diseases),3,To Be Announced,M W,9:30:00 AM,10:45:00 AM,,"LIU Fall 2026, Campus: Beirut"
PHAR615,279767,Pharmacotherapeutics V (infectious Diseases),3,Fouad Rafik Sakr,T R,11:00:00 AM,12:15:00 PM,,"LIU Fall 2026, Campus: Beirut"
PHAR615,279768,Pharmacotherapeutics V (infectious Diseases),3,Fadi Moussa Hdeab,T R,8:00:00 AM,9:15:00 AM,,"LIU Fall 2026, Campus: Beirut"
PHAR615,279769,Pharmacotherapeutics V (infectious Diseases),3,Fadi Moussa Hdeab,M W,11:00:00 AM,12:15:00 PM,,"LIU Fall 2026, Campus: Beirut"
PHAR610,279760,Toxicology,3,Bahia Abdulghani Chahine,M W,9:30:00 AM,10:45:00 AM,,"LIU Fall 2026, Campus: Beirut"
PHAR610,279761,Toxicology,3,Bahia Abdulghani Chahine,M W,12:45:00 PM,2:00:00 PM,,"LIU Fall 2026, Campus: Beirut"
PHAR610,279762,Toxicology,3,Rania Ghassan El Majzoub,T R,8:00:00 AM,9:15:00 AM,,"LIU Fall 2026, Campus: Beirut"
PHAR610,279763,Toxicology,3,Rania Ghassan El Majzoub,M W,8:00:00 AM,9:15:00 AM,,"LIU Fall 2026, Campus: Beirut"
PHAR610,279764,Toxicology,3,Lama Joseph Faddoul,T R,9:30:00 AM,10:45:00 AM,,"LIU Fall 2026, Campus: Beirut"
PHAR625,279775,Pharmacoeconomics,3,Iqbal Mohamad Fahs,M W,11:00:00 AM,12:15:00 PM,,"LIU Fall 2026, Campus: Beirut"
PHAR625,279776,Pharmacoeconomics,3,Iqbal Mohamad Fahs,M W,2:00:00 PM,3:15:00 PM,,"LIU Fall 2026, Campus: Beirut"
PHAR625,279777,Pharmacoeconomics,3,Faten Khalil Ezzedine,M W,12:45:00 PM,2:00:00 PM,,"LIU Fall 2026, Campus: Beirut"
PHAR625,279778,Pharmacoeconomics,3,Sahar Haydar Mohamad Haydar,T R,11:00:00 AM,12:15:00 PM,,"LIU Fall 2026, Campus: Beirut"
PHAR625,279779,Pharmacoeconomics,3,Sahar Haydar Mohamad Haydar,T R,12:45:00 PM,2:00:00 PM,,"LIU Fall 2026, Campus: Beirut"
PHAR625,279780,Pharmacoeconomics,3,Sahar Haydar Mohamad Haydar,T R,2:10:00 PM,3:25:00 PM,,"LIU Fall 2026, Campus: Beirut"
PHAR620,279770,Pharmacotherapeutics VI (Hematology/Oncology),3,Iqbal Mohamad Fahs,M W,8:00:00 AM,9:15:00 AM,,"LIU Fall 2026, Campus: Beirut"
PHAR620,279771,Pharmacotherapeutics VI (Hematology/Oncology),3,Iqbal Mohamad Fahs,M W,9:30:00 AM,10:45:00 AM,,"LIU Fall 2026, Campus: Beirut"
